Filename                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
bfd/aix5ppc-core.c                         4                 4     0.00%           4                 4     0.00%          13                13     0.00%
bfd/aout-adobe.c                         341               341     0.00%          10                10     0.00%         359               359     0.00%
bfd/aout-arm.c                           225               225     0.00%           9                 9     0.00%         288               288     0.00%
bfd/aout-cris.c                          262               262     0.00%           4                 4     0.00%         146               146     0.00%
bfd/aout-ns32k.c                         224               224     0.00%           7                 7     0.00%         167               167     0.00%
bfd/aout-target.h                       1055              1055     0.00%           9                 9     0.00%         174               174     0.00%
bfd/aout-tic30.c                         980               980     0.00%          16                16     0.00%         457               457     0.00%
bfd/aoutf1.h                             714               714     0.00%          12                12     0.00%         431               431     0.00%
bfd/aoutx.h                             4144              4144     0.00%          61                61     0.00%        4622              4622     0.00%
bfd/archive.c                           1461              1431     2.05%          47                45     4.26%        2158              2136     1.02%
bfd/archive64.c                          121               121     0.00%           2                 2     0.00%         197               197     0.00%
bfd/archures.c                           205               186     9.27%          18                16    11.11%         366               346     5.46%
bfd/bfd.c                                638               616     3.45%          42                36    14.29%         898               873     2.78%
bfd/bfd.h                                  8                 1    87.50%           4                 1    75.00%          17                 4    76.47%
bfd/bfdio.c                              151               109    27.81%          21                16    23.81%         335               250    25.37%
bfd/binary.c                             111               111     0.00%           9                 9     0.00%         177               177     0.00%
bfd/bout.c                               860               860     0.00%          23                23     0.00%        1126              1126     0.00%
bfd/cache.c                              217               159    26.73%          19                 9    52.63%         385               251    34.81%
bfd/coff-alpha.c                         988               988     0.00%          18                18     0.00%        1685              1685     0.00%
bfd/coff-arm.c                          1275              1275     0.00%          30                30     0.00%        1612              1612     0.00%
bfd/coff-h8300.c                         457               457     0.00%          11                11     0.00%        1145              1145     0.00%
bfd/coff-h8500.c                          82                82     0.00%           4                 4     0.00%         172               172     0.00%
bfd/coff-i386.c                          156               156     0.00%           7                 7     0.00%         227               227     0.00%
bfd/coff-i860.c                          103               103     0.00%           7                 7     0.00%         221               221     0.00%
bfd/coff-i960.c                          278               278     0.00%           7                 7     0.00%         399               399     0.00%
bfd/coff-ia64.c                           36                36     0.00%           2                 2     0.00%          66                66     0.00%
bfd/coff-m68k.c                          183               183     0.00%           9                 9     0.00%         261               261     0.00%
bfd/coff-m88k.c                           58                58     0.00%           4                 4     0.00%         112               112     0.00%
bfd/coff-mcore.c                         167               167     0.00%           7                 7     0.00%         260               260     0.00%
bfd/coff-mips.c                          523               523     0.00%          13                13     0.00%         860               860     0.00%
bfd/coff-ppc.c                           903               903     0.00%          25                25     0.00%        1508              1508     0.00%
bfd/coff-rs6000.c                       2083              2071     0.58%          58                57     1.72%        2677              2664     0.49%
bfd/coff-sh.c                           1429              1429     0.00%          24                24     0.00%        1783              1783     0.00%
bfd/coff-sparc.c                          29                29     0.00%           4                 4     0.00%          36                36     0.00%
bfd/coff-stgo32.c                        246               246     0.00%          12                12     0.00%         209               209     0.00%
bfd/coff-tic30.c                          29                29     0.00%           4                 4     0.00%          51                51     0.00%
bfd/coff-tic4x.c                         120               120     0.00%           7                 7     0.00%         126               126     0.00%
bfd/coff-tic54x.c                        130               130     0.00%          13                13     0.00%         166               166     0.00%
bfd/coff-tic80.c                         141               141     0.00%           7                 7     0.00%         260               260     0.00%
bfd/coff-w65.c                            90                90     0.00%           5                 5     0.00%         253               253     0.00%
bfd/coff-x86_64.c                        167               167     0.00%           7                 7     0.00%         245               245     0.00%
bfd/coff-z80.c                           100               100     0.00%           5                 5     0.00%         154               154     0.00%
